subject,run_number,Trialid,condition,choice_number,self_value,other_value,choice,self,other,choice_RT
1201,3,26,3,4,12,22,1,12,22,1128
1201,3,27,2,1,30,10,1,30,10,655
1201,3,27,2,2,12,3,1,12,3,1174
1201,3,27,2,3,2,18,2,10,10,1014
1201,3,27,2,4,12,18,1,12,18,1349
1201,3,28,4,1,7,11,2,10,10,1057
1201,3,28,4,2,12,22,1,12,22,994
1201,3,28,4,3,17,3,1,17,3,1283
1201,3,28,4,4,30,15,1,30,15,777
1201,3,29,1,1,22,10,1,22,10,950
1201,3,29,1,2,12,22,1,12,22,1404
1201,3,29,1,3,7,11,2,10,10,1068
1201,3,29,1,4,12,8,1,12,8,1141
1201,3,32,3,1,10,22,1,10,22,1611
1201,3,32,3,2,7,11,2,10,10,1290
1201,3,32,3,3,22,10,1,22,10,674
1201,3,32,3,4,16,8,1,16,8,780
1201,3,33,4,1,1,13,2,10,10,861
1201,3,33,4,2,22,12,1,22,12,762
1201,3,33,4,3,31,3,1,31,3,704
1201,3,33,4,4,10,18,1,10,18,1465
1201,3,34,2,1,12,22,1,12,22,888
1201,3,34,2,2,16,8,1,16,8,937
1201,3,34,2,3,22,10,1,22,10,960
1201,3,34,2,4,1,13,2,10,10,909
1201,3,35,1,1,15,30,1,15,30,1616
1201,3,35,1,2,31,3,1,31,3,1020
1201,3,35,1,3,18,12,1,18,12,757
1201,3,35,1,4,7,13,2,10,10,1692
1202,1,1,4,1,31,3,1,31,3,1472
1202,1,1,4,2,22,10,1,22,10,1410
1202,1,1,4,3,30,25,1,30,25,1051
1202,1,1,4,4,4,12,2,10,10,1073
1202,1,4,2,1,12,3,1,12,3,1260
1202,1,4,2,2,30,25,1,30,25,891
1202,1,4,2,3,6,22,2,10,10,1065
1202,1,4,2,4,30,10,1,30,10,809
1202,1,5,3,1,22,6,1,22,6,1005
1202,1,5,3,2,10,26,1,10,26,836
1202,1,5,3,3,25,30,1,25,30,727
1202,1,5,3,4,4,12,2,10,10,909
1202,1,6,1,1,11,6,2,10,10,898
1202,1,6,1,2,20,30,1,20,30,816
1202,1,6,1,3,4,16,2,10,10,742
1202,1,6,1,4,10,26,1,10,26,806
1202,1,7,4,1,10,30,2,10,10,947
1202,1,7,4,2,25,30,1,25,30,819
1202,1,7,4,3,6,22,2,10,10,802
1202,1,7,4,4,11,8,2,10,10,858
1202,1,11,2,1,11,6,1,11,6,1137
1202,1,11,2,2,12,18,1,12,18,1019
1202,1,11,2,3,22,10,1,22,10,707
1202,1,11,2,4,4,28,2,10,10,954
1202,1,12,3,1,30,10,1,30,10,783
1202,1,12,3,2,12,8,1,12,8,829
1202,1,12,3,3,7,11,2,10,10,902
1202,1,12,3,4,14,26,1,14,26,896
1202,1,13,1,1,7,11,2,10,10,688
1202,1,13,1,2,31,3,2,10,10,1370
